slug,subject,year_group,mission_slug,lesson_slug,skill_slug,gcse_domain,difficulty_band,question_type,template,variable_schema_json,answer_expression,acceptable_answer_rules_json,hint_template,explanation_template,misconception_tags_json,source_style,calculator_allowed,is_active,sample_prompt,sample_answer,challenge_use
probability-experimental_probability-could,maths,8-9,probability,experimental-probability,experimental_probability,statistics_probability,could,short_text,A spinner lands on blue {blue} times in {trials} spins. Estimate P(blue).,"{""blue"":[12,18,25,40],""trials"":[50,60,100,200]}",blue/trials,"{""normalise"": [""trim"", ""lowercase"", ""remove_spaces""], ""tolerance"": 0.01}",Experimental probability = frequency ÷ trials.,Use results from the experiment.,[],gcse-style-original,false,true,25 blue in 100 spins,0.25,adaptive_challenge_mode
probability-two_way_table_probability-gcse_bridge,maths,8-9,probability,two-way-table-probability,two_way_table_probability,statistics_probability,gcse_bridge,short_text,"In a class, {girls} girls and {boys} boys choose art. There are {total} students. What is the probability a randomly chosen student chose art?","{""girls"":[5,8,10],""boys"":[4,6,8],""extra"":[10,12,15]}",(girls+boys)/total,"{""normalise"": [""trim"", ""lowercase"", ""remove_spaces""], ""tolerance"": 0.01}",Total choosing art over class total.,Add girls and boys who chose art.,[],gcse-style-original,true,true,"8 girls + 6 boys chose art, total 28",14/28 = 1/2,adaptive_challenge_mode
probability-frequency_tree_intro-gcse_bridge,maths,8-9,probability,frequency-tree-intro,frequency_tree_intro,statistics_probability,gcse_bridge,short_text,A group has {total} students. {a} are boys. {pass_boys} boys passed a test and {pass_girls} girls passed. How many students passed?,"{""total"":[30,40,50],""a"":[12,18,20],""pass_boys"":[8,10,12],""pass_girls"":[9,12,15]}",pass_boys+pass_girls,"{""normalise"": [""trim"", ""lowercase"", ""remove_spaces""], ""tolerance"": 0.01}",Add passed boys and passed girls.,Frequency trees split totals into branches.,[],gcse-style-original,true,true,"10 boys passed, 12 girls passed",22,adaptive_challenge_mode
probability-tree_diagram_intro-gcse_bridge,maths,8-9,probability,tree-diagram-intro,tree_diagram_intro,statistics_probability,gcse_bridge,short_text,A bag has {red} red and {blue} blue counters. One counter is replaced after choosing. What is P(red then red)?,"{""red"":[2,3,4],""blue"":[3,4,5]}",(red/(red+blue))**2,"{""normalise"": [""trim"", ""lowercase"", ""remove_spaces""], ""tolerance"": 0.01}","With replacement, probabilities stay the same.",Multiply P(red) by P(red).,[],gcse-style-original,true,true,"2 red, 3 blue, replace",4/25,adaptive_challenge_mode
probability-combined_events_intro-gcse_bridge,maths,8-9,probability,combined-events-intro,combined_events_intro,statistics_probability,gcse_bridge,short_text,A coin is flipped and a dice is rolled. What is the probability of heads and a 6?,{},1/12,"{""normalise"": [""trim"", ""lowercase"", ""remove_spaces""], ""tolerance"": 0.01}",Multiply independent probabilities.,P(heads)=1/2 and P(6)=1/6.,[],gcse-style-original,true,true,coin heads and dice 6,1/12,adaptive_challenge_mode
probability-probability_reasoning-gcse_bridge,maths,8-9,probability,probability-reasoning,probability_reasoning,statistics_probability,gcse_bridge,multiple_choice,A probability is written as {bad}. Why is this impossible?,"{""bad"":[1.2,-0.1,""5/4"",""-2/3""]}",outside 0 to 1,"{""normalise"": [""trim"", ""lowercase"", ""remove_spaces""], ""tolerance"": 0.01}",Probabilities must be between 0 and 1.,No probability can be less than 0 or greater than 1.,[],gcse-style-original,true,true,P=1.2,Greater than 1,adaptive_challenge_mode
number-skills-round_nearest_10-must,maths,8-9,number-skills,round-nearest-10,round_nearest_10,number,must,short_text,Round {n} to the nearest 10.,"{""n"":[23,47,62,85,138,249]}",round10(n),"{""normalise"": [""trim"", ""lowercase"", ""remove_spaces""], ""tolerance"": 0.01}",Look at the ones digit.,0-4 rounds down; 5-9 rounds up.,[],gcse-style-original,false,true,47 nearest 10,50,adaptive_challenge_mode
number-skills-round_nearest_100-must,maths,8-9,number-skills,round-nearest-100,round_nearest_100,number,must,short_text,Round {n} to the nearest 100.,"{""n"":[149,251,376,650,849,1250]}",round100(n),"{""normalise"": [""trim"", ""lowercase"", ""remove_spaces""], ""tolerance"": 0.01}",Look at the tens digit.,"If the tens digit is 5 or more, round up.",[],gcse-style-original,false,true,376 nearest 100,400,adaptive_challenge_mode
number-skills-factors_list-must,maths,8-9,number-skills,factors-list,factors_list,number,must,short_text,Write one factor of {n} greater than 1.,"{""n"":[12,18,24,30,36]}",any factor,"{""normalise"": [""trim"", ""lowercase"", ""remove_spaces""], ""tolerance"": 0.01}",A factor divides exactly.,Factors divide a number with no remainder.,[],gcse-style-original,false,true,factor of 24,"2,3,4,6,8,12",adaptive_challenge_mode
number-skills-multiples-must,maths,8-9,number-skills,multiples,multiples,number,must,short_text,Write the first three multiples of {n}.,"{""n"":[3,4,5,6,7,8]}","n,2n,3n","{""normalise"": [""trim"", ""lowercase"", ""remove_spaces""], ""tolerance"": 0.01}",Multiples are times table answers.,"Multiply by 1, 2 and 3.",[],gcse-style-original,false,true,first three multiples of 6,"6,12,18",adaptive_challenge_mode
number-skills-hcf-should,maths,8-9,number-skills,hcf,hcf,number,should,short_text,Find the HCF of {a} and {b}.,"{""pairs"":[[12,18],[20,30],[24,36],[28,42]]}",hcf,"{""normalise"": [""trim"", ""lowercase"", ""remove_spaces""], ""tolerance"": 0.01}",List common factors.,The HCF is the highest common factor.,[],gcse-style-original,false,true,HCF 24 and 36,12,adaptive_challenge_mode
number-skills-lcm-should,maths,8-9,number-skills,lcm,lcm,number,should,short_text,Find the LCM of {a} and {b}.,"{""pairs"":[[3,4],[4,6],[5,6],[6,8]]}",lcm,"{""normalise"": [""trim"", ""lowercase"", ""remove_spaces""], ""tolerance"": 0.01}",List multiples until they match.,The LCM is the lowest common multiple.,[],gcse-style-original,false,true,LCM 4 and 6,12,adaptive_challenge_mode
number-skills-prime_numbers-must,maths,8-9,number-skills,prime-numbers,prime_numbers,number,must,multiple_choice,Is {n} prime?,"{""n"":[2,3,5,7,11,15,21,27]}",isPrime(n),"{""normalise"": [""trim"", ""lowercase"", ""remove_spaces""], ""tolerance"": 0.01}",Prime means exactly two factors.,A prime number has only 1 and itself as factors.,[],gcse-style-original,false,true,Is 15 prime?,No,adaptive_challenge_mode
number-skills-square_numbers-must,maths,8-9,number-skills,square-numbers,square_numbers,number,must,short_text,What is {n} squared?,"{""n"":[2,3,4,5,6,7,8,9,10,12]}",n*n,"{""normalise"": [""trim"", ""lowercase"", ""remove_spaces""], ""tolerance"": 0.01}",Squared means multiplied by itself.,{n}² = {n} × {n}.,[],gcse-style-original,false,true,7 squared,49,adaptive_challenge_mode
number-skills-cube_numbers-should,maths,8-9,number-skills,cube-numbers,cube_numbers,number,should,short_text,What is {n} cubed?,"{""n"":[2,3,4,5]}",n**3,"{""normalise"": [""trim"", ""lowercase"", ""remove_spaces""], ""tolerance"": 0.01}",Cubed means multiply by itself three times.,{n}³ = {n} × {n} × {n}.,[],gcse-style-original,false,true,4 cubed,64,adaptive_challenge_mode
number-skills-negative_add-should,maths,8-9,number-skills,negative-add,negative_add,number,should,short_text,Calculate {a} + ({b}).,"{""a"":[-8,-5,-3,4,7],""b"":[-6,-2,3,5]}",a+b,"{""normalise"": [""trim"", ""lowercase"", ""remove_spaces""], ""tolerance"": 0.01}",Use a number line.,"Move right for positive, left for negative.",[],gcse-style-original,false,true,-5 + -3,-8,adaptive_challenge_mode
number-skills-negative_subtract-should,maths,8-9,number-skills,negative-subtract,negative_subtract,number,should,short_text,Calculate {a} - ({b}).,"{""a"":[-8,-5,3,7],""b"":[-4,-2,5]}",a-b,"{""normalise"": [""trim"", ""lowercase"", ""remove_spaces""], ""tolerance"": 0.01}",Subtracting a negative means adding.,Careful with double negatives.,[],gcse-style-original,false,true,3 - (-4),7,adaptive_challenge_mode
number-skills-bidmas_basic-should,maths,8-9,number-skills,bidmas-basic,bidmas_basic,number,should,short_text,Calculate {a} + {b} × {c}.,"{""a"":[2,3,4,5],""b"":[2,3,4],""c"":[5,6,7]}",a+b*c,"{""normalise"": [""trim"", ""lowercase"", ""remove_spaces""], ""tolerance"": 0.01}",Multiplication before addition.,Use BIDMAS order.,[],gcse-style-original,false,true,3 + 4 × 5,23,adaptive_challenge_mode
number-skills-estimation-could,maths,8-9,number-skills,estimation,estimation,number,could,short_text,Estimate {a} × {b} by rounding both numbers to 1 significant figure.,"{""a"":[48,62,79,123],""b"":[19,31,47]}",rounded product,"{""normalise"": [""trim"", ""lowercase"", ""remove_spaces""], ""tolerance"": 0.01}","Round first, then multiply.",Estimation gives an approximate answer.,[],gcse-style-original,false,true,48 × 19,50×20=1000,adaptive_challenge_mode
number-skills-prime_factorisation-could,maths,8-9,number-skills,prime-factorisation,prime_factorisation,number,could,short_text,Write {n} as a product of prime factors.,"{""n"":[24,36,40,60,72]}",prime factors,"{""normalise"": [""trim"", ""lowercase"", ""remove_spaces""], ""tolerance"": 0.01}",Break it into prime numbers.,Keep dividing by primes until only primes remain.,[],gcse-style-original,false,true,60,2×2×3×5,adaptive_challenge_mode
number-skills-gcse_number_reasoning-gcse_bridge,maths,8-9,number-skills,gcse-number-reasoning,gcse_number_reasoning,number,gcse_bridge,short_text,A bus leaves every {a} minutes and a train leaves every {b} minutes. They both leave at 09:00. After how many minutes will they next leave together?,"{""a"":[6,8,10,12],""b"":[9,12,15,18]}",lcm,"{""normalise"": [""trim"", ""lowercase"", ""remove_spaces""], ""tolerance"": 0.01}",This is an LCM problem.,Find the lowest common multiple of the two times.,[],gcse-style-original,true,true,"bus 8 min, train 12 min",24 minutes,adaptive_challenge_mode
fractions-equivalent_fractions-must,maths,8-9,fractions,equivalent-fractions,equivalent_fractions,number,must,short_text,Complete: {a}/{b} = {ka}/__,"{""a"":[1,2,3],""b"":[2,3,4,5],""k"":[2,3,4]}",b*k,"{""normalise"": [""trim"", ""lowercase"", ""remove_spaces""], ""tolerance"": 0.01}",Multiply numerator and denominator by same number.,Equivalent fractions have the same value.,[],gcse-style-original,false,true,1/3 = 3/__,9,adaptive_challenge_mode
fractions-simplify_fractions-must,maths,8-9,fractions,simplify-fractions,simplify_fractions,number,must,short_text,Simplify {a}/{b}.,"{""pairs"":[[2,4],[3,6],[4,8],[6,9],[8,12],[10,15]]}",simplified,"{""normalise"": [""trim"", ""lowercase"", ""remove_spaces""], ""tolerance"": 0.01}",Divide top and bottom by the same factor.,Use the highest common factor if you can.,[],gcse-style-original,false,true,8/12,2/3,adaptive_challenge_mode
fractions-compare_fractions-should,maths,8-9,fractions,compare-fractions,compare_fractions,number,should,multiple_choice,Which is bigger: {f1} or {f2}?,"{""pairs"":[[""1/2"",""1/3""],[""3/4"",""2/3""],[""4/5"",""5/8""]]}",bigger,"{""normalise"": [""trim"", ""lowercase"", ""remove_spaces""], ""tolerance"": 0.01}",Use common denominators or decimals.,Convert both fractions to comparable forms.,[],gcse-style-original,false,true,3/4 or 2/3,3/4,adaptive_challenge_mode
fractions-order_fractions-should,maths,8-9,fractions,order-fractions,order_fractions,number,should,short_text,"Put these in ascending order: {f1}, {f2}, {f3}.","{""sets"":[[""1/2"",""1/4"",""3/4""],[""2/3"",""1/3"",""5/6""]]}",ordered,"{""normalise"": [""trim"", ""lowercase"", ""remove_spaces""], ""tolerance"": 0.01}",Ascending means smallest to largest.,Use common denominators.,[],gcse-style-original,false,true,"1/2,1/4,3/4","1/4,1/2,3/4",adaptive_challenge_mode
fractions-fraction_of_amount-should,maths,8-9,fractions,fraction-of-amount,fraction_of_amount,number,should,short_text,Find {num}/{den} of {amount}.,"{""num"":[1,2,3],""den"":[4,5,8,10],""unit"":[4,5,10]}",amount/den*num,"{""normalise"": [""trim"", ""lowercase"", ""remove_spaces""], ""tolerance"": 0.01}","Divide by denominator, multiply by numerator.",Find one part first.,[],gcse-style-original,false,true,3/5 of 40,24,adaptive_challenge_mode
fractions-add_fractions_same_den-must,maths,8-9,fractions,add-fractions-same-den,add_fractions_same_den,number,must,short_text,Calculate {a}/{d} + {b}/{d}.,"{""d"":[5,6,8,10],""a"":[1,2,3],""b"":[1,2,3]}",(a+b)/d,"{""normalise"": [""trim"", ""lowercase"", ""remove_spaces""], ""tolerance"": 0.01}",Same denominator: add numerators.,Keep the denominator the same.,[],gcse-style-original,false,true,2/7+3/7,5/7,adaptive_challenge_mode
fractions-subtract_fractions_same_den-must,maths,8-9,fractions,subtract-fractions-same-den,subtract_fractions_same_den,number,must,short_text,Calculate {a}/{d} - {b}/{d}.,"{""d"":[5,6,8,10],""a"":[3,4,5,6],""b"":[1,2,3]}",(a-b)/d,"{""normalise"": [""trim"", ""lowercase"", ""remove_spaces""], ""tolerance"": 0.01}",Same denominator: subtract numerators.,Keep the denominator the same.,[],gcse-style-original,false,true,5/8-1/8,4/8=1/2,adaptive_challenge_mode
fractions-add_fractions_diff_den-could,maths,8-9,fractions,add-fractions-diff-den,add_fractions_diff_den,number,could,short_text,Calculate {f1} + {f2}.,"{""pairs"":[[""1/2"",""1/4""],[""1/3"",""1/6""],[""2/5"",""1/10""]]}",sum,"{""normalise"": [""trim"", ""lowercase"", ""remove_spaces""], ""tolerance"": 0.01}",Use a common denominator.,Rewrite both fractions with the same denominator.,[],gcse-style-original,false,true,1/2+1/4,3/4,adaptive_challenge_mode
fractions-multiply_fractions-should,maths,8-9,fractions,multiply-fractions,multiply_fractions,number,should,short_text,Calculate {a}/{b} × {c}/{d}.,"{""a"":[1,2,3],""b"":[3,4,5],""c"":[1,2,3],""d"":[4,5,6]}",a*c/(b*d),"{""normalise"": [""trim"", ""lowercase"", ""remove_spaces""], ""tolerance"": 0.01}",Multiply tops and bottoms.,"Numerator × numerator, denominator × denominator.",[],gcse-style-original,false,true,2/3 × 3/5,6/15=2/5,adaptive_challenge_mode
fractions-divide_fractions_intro-could,maths,8-9,fractions,divide-fractions-intro,divide_fractions_intro,number,could,short_text,Calculate {a}/{b} ÷ {c}/{d}.,"{""examples"":[[1,2,1,4],[2,3,1,6],[3,5,1,10]]}",division result,"{""normalise"": [""trim"", ""lowercase"", ""remove_spaces""], ""tolerance"": 0.01}","Keep, change, flip.",Dividing by a fraction means multiplying by its reciprocal.,[],gcse-style-original,false,true,1/2 ÷ 1/4,2,adaptive_challenge_mode
fractions-mixed_numbers-could,maths,8-9,fractions,mixed-numbers,mixed_numbers,number,could,short_text,Write {whole} {num}/{den} as an improper fraction.,"{""whole"":[1,2,3],""num"":[1,2,3],""den"":[4,5,6]}",(whole*den+num)/den,"{""normalise"": [""trim"", ""lowercase"", ""remove_spaces""], ""tolerance"": 0.01}","Multiply whole by denominator, add numerator.",Keep the denominator the same.,[],gcse-style-original,false,true,2 1/3,7/3,adaptive_challenge_mode
fractions-fraction_decimal-should,maths,8-9,fractions,fraction-decimal,fraction_decimal,number,should,short_text,Write {num}/{den} as a decimal.,"{""pairs"":[[1,2],[1,4],[3,4],[1,5],[2,5]]}",num/den,"{""normalise"": [""trim"", ""lowercase"", ""remove_spaces""], ""tolerance"": 0.01}",Divide numerator by denominator.,Fraction bar means divide.,[],gcse-style-original,false,true,3/4,0.75,adaptive_challenge_mode
fractions-fraction_percent-should,maths,8-9,fractions,fraction-percent,fraction_percent,number,should,short_text,Write {num}/{den} as a percentage.,"{""pairs"":[[1,2],[1,4],[3,4],[1,5],[2,5]]}",num/den*100,"{""normalise"": [""trim"", ""lowercase"", ""remove_spaces""], ""tolerance"": 0.01}",Convert to a decimal then percentage.,Multiply the decimal by 100.,"[""divide_by_100_error"", ""multiplier_error""]",gcse-style-original,false,true,2/5,40%,adaptive_challenge_mode
fractions-fraction_word_problem-gcse_bridge,maths,8-9,fractions,fraction-word-problem,fraction_word_problem,number,gcse_bridge,short_text,A club has {total} members. {num}/{den} are girls. How many boys are there?,"{""total"":[40,60,80,100],""num"":[1,2,3],""den"":[4,5]}",total-total*num/den,"{""normalise"": [""trim"", ""lowercase"", ""remove_spaces""], ""tolerance"": 0.01}","Find girls first, then subtract from total.",Boys are the remaining members.,[],gcse-style-original,true,true,"60 members, 2/5 girls",36 boys,adaptive_challenge_mode
fractions-multi_step_fraction-gcse_bridge,maths,8-9,fractions,multi-step-fraction,multi_step_fraction,number,gcse_bridge,short_text,A tank is {num}/{den} full. It holds {capacity} litres when full. How many more litres are needed to fill it?,"{""capacity"":[40,60,80,100],""num"":[1,2,3],""den"":[4,5]}",capacity*(1-num/den),"{""normalise"": [""trim"", ""lowercase"", ""remove_spaces""], ""tolerance"": 0.01}",Find the empty fraction.,Amount needed = remaining fraction of capacity.,[],gcse-style-original,true,true,80L tank 3/4 full,20L,adaptive_challenge_mode
angles-geometry-angles_on_line-must,maths,8-9,angles-geometry,angles-on-line,angles_on_line,geometry,must,short_text,Find x if x and {a}° are on a straight line.,"{""a"":[35,50,68,101,118]}",180-a,"{""normalise"": [""trim"", ""lowercase"", ""remove_spaces""], ""tolerance"": 0.01}",Angles on a straight line add to 180°.,x = 180 - {a}.,"[""angle_fact_confusion""]",gcse-style-original,false,true,x + 68° on line,112°,adaptive_challenge_mode
angles-geometry-angles_around_point-must,maths,8-9,angles-geometry,angles-around-point,angles_around_point,geometry,must,short_text,"Angles around a point include {a}°, {b}° and x. Find x.","{""a"":[80,95,120],""b"":[45,60,75]}",360-a-b,"{""normalise"": [""trim"", ""lowercase"", ""remove_spaces""], ""tolerance"": 0.01}",Angles around a point add to 360°.,Subtract known angles from 360.,"[""angle_fact_confusion""]",gcse-style-original,false,true,"80°,95°,x around point",185°,adaptive_challenge_mode
angles-geometry-vertically_opposite-must,maths,8-9,angles-geometry,vertically-opposite,vertically_opposite,geometry,must,short_text,Two vertically opposite angles are {a}° and x. Find x.,"{""a"":[39,55,79,101,118]}",a,"{""normalise"": [""trim"", ""lowercase"", ""remove_spaces""], ""tolerance"": 0.01}",Vertically opposite angles are equal.,Opposite angles made by crossing lines are equal.,[],gcse-style-original,false,true,opposite to 79°,79°,adaptive_challenge_mode
angles-geometry-triangle_angles-should,maths,8-9,angles-geometry,triangle-angles,triangle_angles,geometry,should,short_text,"A triangle has angles {a}°, {b}° and x. Find x.","{""a"":[42,56,71],""b"":[57,68,79]}",180-a-b,"{""normalise"": [""trim"", ""lowercase"", ""remove_spaces""], ""tolerance"": 0.01}",Angles in a triangle add to 180°.,Subtract the two known angles from 180.,"[""angle_fact_confusion""]",gcse-style-original,false,true,"42°,68°,x",70°,adaptive_challenge_mode
angles-geometry-quadrilateral_angles-should,maths,8-9,angles-geometry,quadrilateral-angles,quadrilateral_angles,geometry,should,short_text,"A quadrilateral has angles {a}°, {b}°, {c}° and x. Find x.","{""a"":[81,89,97],""b"":[76,101,108],""c"":[80,90,120]}",360-a-b-c,"{""normalise"": [""trim"", ""lowercase"", ""remove_spaces""], ""tolerance"": 0.01}",Angles in a quadrilateral add to 360°.,Subtract known angles from 360.,"[""angle_fact_confusion""]",gcse-style-original,false,true,"81,108,76,x",95°,adaptive_challenge_mode
angles-geometry-parallel_corresponding-should,maths,8-9,angles-geometry,parallel-corresponding,parallel_corresponding,geometry,should,short_text,"In parallel lines, a corresponding angle to {a}° is x. Find x.","{""a"":[39,55,71,118]}",a,"{""normalise"": [""trim"", ""lowercase"", ""remove_spaces""], ""tolerance"": 0.01}",Corresponding angles are equal.,Same relative position means same size.,[],gcse-style-original,false,true,corresponding to 55°,55°,adaptive_challenge_mode
angles-geometry-parallel_alternate-should,maths,8-9,angles-geometry,parallel-alternate,parallel_alternate,geometry,should,short_text,"In parallel lines, an alternate angle to {a}° is x. Find x.","{""a"":[39,55,71,118]}",a,"{""normalise"": [""trim"", ""lowercase"", ""remove_spaces""], ""tolerance"": 0.01}",Alternate angles are equal.,Z-shaped angles are equal.,[],gcse-style-original,false,true,alternate to 71°,71°,adaptive_challenge_mode
angles-geometry-cointerior_angles-could,maths,8-9,angles-geometry,cointerior-angles,cointerior_angles,geometry,could,short_text,Co-interior angles are {a}° and x. Find x.,"{""a"":[101,118,125,140]}",180-a,"{""normalise"": [""trim"", ""lowercase"", ""remove_spaces""], ""tolerance"": 0.01}",Co-interior angles add to 180°.,C-shaped angles in parallel lines sum to 180.,"[""angle_fact_confusion""]",gcse-style-original,false,true,co-interior with 118°,62°,adaptive_challenge_mode
angles-geometry-isosceles_triangle-should,maths,8-9,angles-geometry,isosceles-triangle,isosceles_triangle,geometry,should,short_text,An isosceles triangle has vertex angle {a}°. Find each base angle.,"{""a"":[40,50,56,68]}",(180-a)/2,"{""normalise"": [""trim"", ""lowercase"", ""remove_spaces""], ""tolerance"": 0.01}",Base angles in an isosceles triangle are equal.,"Subtract the vertex angle, then divide by 2.","[""angle_fact_confusion""]",gcse-style-original,false,true,vertex 56°,62°,adaptive_challenge_mode
angles-geometry-equilateral_triangle-must,maths,8-9,angles-geometry,equilateral-triangle,equilateral_triangle,geometry,must,short_text,What is each angle in an equilateral triangle?,{},60°,"{""normalise"": [""trim"", ""lowercase"", ""remove_spaces""], ""tolerance"": 0.01}",All three angles are equal.,180° ÷ 3 = 60°.,"[""angle_fact_confusion""]",gcse-style-original,false,true,equilateral angle,60°,adaptive_challenge_mode
angles-geometry-exterior_triangle-could,maths,8-9,angles-geometry,exterior-triangle,exterior_triangle,geometry,could,short_text,A triangle has inside angles {a}° and {b}°. Find the exterior angle at the third vertex.,"{""a"":[55,67,71],""b"":[42,57,68]}",a+b,"{""normalise"": [""trim"", ""lowercase"", ""remove_spaces""], ""tolerance"": 0.01}",Exterior angle equals sum of opposite interior angles.,You can also find third angle then subtract from 180.,"[""angle_fact_confusion""]",gcse-style-original,false,true,opposite 55° and 67°,122°,adaptive_challenge_mode
angles-geometry-polygon_interior_sum-could,maths,8-9,angles-geometry,polygon-interior-sum,polygon_interior_sum,geometry,could,short_text,Find the sum of interior angles of a {n}-sided polygon.,"{""n"":[5,6,7,8,10]}",(n-2)*180,"{""normalise"": [""trim"", ""lowercase"", ""remove_spaces""], ""tolerance"": 0.01}",Use (n-2) × 180.,Split the polygon into triangles.,[],gcse-style-original,false,true,hexagon,720°,adaptive_challenge_mode
angles-geometry-regular_polygon_angle-gcse_bridge,maths,8-9,angles-geometry,regular-polygon-angle,regular_polygon_angle,geometry,gcse_bridge,short_text,Find each interior angle of a regular {n}-gon.,"{""n"":[5,6,8,10,12]}",(n-2)*180/n,"{""normalise"": [""trim"", ""lowercase"", ""remove_spaces""], ""tolerance"": 0.01}",Find total then divide by number of sides.,Regular means all angles are equal.,"[""angle_fact_confusion""]",gcse-style-original,true,true,regular octagon,135°,adaptive_challenge_mode
angles-geometry-multi_step_angle_reasoning-gcse_bridge,maths,8-9,angles-geometry,multi-step-angle-reasoning,multi_step_angle_reasoning,geometry,gcse_bridge,short_text,"A straight line contains angles {a}°, {b}° and x. Find x and give the reason.","{""a"":[41,51,67],""b"":[39,57,72]}",180-a-b,"{""normalise"": [""trim"", ""lowercase"", ""remove_spaces""], ""tolerance"": 0.01}",Angles on a straight line add to 180°.,Subtract both known angles from 180.,"[""angle_fact_confusion""]",gcse-style-original,true,true,"41°,51°,x on line",88°,adaptive_challenge_mode
angles-geometry-angle_algebra-gcse_bridge,maths,8-9,angles-geometry,angle-algebra,angle_algebra,geometry,gcse_bridge,short_text,Angles on a straight line are {a}x and {b}x. Find x.,"{""a"":[2,3,4],""b"":[3,5,6]}",180/(a+b),"{""normalise"": [""trim"", ""lowercase"", ""remove_spaces""], ""tolerance"": 0.01}",Form an equation.,{a}x + {b}x = 180.,"[""angle_fact_confusion""]",gcse-style-original,true,true,2x and 3x on line,36,adaptive_challenge_mode
area-perimeter-rectangle_area-must,maths,8-9,area-perimeter,rectangle-area,rectangle_area,geometry,must,short_text,Find the area of a rectangle with length {l} cm and width {w} cm.,"{""l"":[5,6,8,10,12],""w"":[2,3,4,5]}",l*w,"{""normalise"": [""trim"", ""lowercase"", ""remove_spaces""], ""tolerance"": 0.01}",Area rectangle = length × width.,Multiply the two side lengths.,"[""angle_fact_confusion""]",gcse-style-original,false,true,8 by 5,40 cm²,adaptive_challenge_mode
area-perimeter-rectangle_perimeter-must,maths,8-9,area-perimeter,rectangle-perimeter,rectangle_perimeter,geometry,must,short_text,Find the perimeter of a rectangle with length {l} cm and width {w} cm.,"{""l"":[5,6,8,10,12],""w"":[2,3,4,5]}",2*(l+w),"{""normalise"": [""trim"", ""lowercase"", ""remove_spaces""], ""tolerance"": 0.01}",Add all sides.,Perimeter = 2l + 2w.,"[""angle_fact_confusion""]",gcse-style-original,false,true,8 by 5,26 cm,adaptive_challenge_mode
area-perimeter-triangle_area-should,maths,8-9,area-perimeter,triangle-area,triangle_area,geometry,should,short_text,Find the area of a triangle with base {b} cm and height {h} cm.,"{""b"":[6,8,10,12],""h"":[4,5,6,7]}",b*h/2,"{""normalise"": [""trim"", ""lowercase"", ""remove_spaces""], ""tolerance"": 0.01}",Triangle area = base × height ÷ 2.,It is half a rectangle.,"[""angle_fact_confusion""]",gcse-style-original,false,true,base 10 height 6,30 cm²,adaptive_challenge_mode
area-perimeter-parallelogram_area-should,maths,8-9,area-perimeter,parallelogram-area,parallelogram_area,geometry,should,short_text,Find the area of a parallelogram with base {b} cm and height {h} cm.,"{""b"":[6,8,10,12],""h"":[4,5,6]}",b*h,"{""normalise"": [""trim"", ""lowercase"", ""remove_spaces""], ""tolerance"": 0.01}",Area = base × perpendicular height.,"Use vertical height, not slanted side.",[],gcse-style-original,false,true,base 8 height 5,40 cm²,adaptive_challenge_mode
area-perimeter-compound_area_rectangles-could,maths,8-9,area-perimeter,compound-area-rectangles,compound_area_rectangles,geometry,could,short_text,A compound shape is made from rectangles with areas {a} cm² and {b} cm². Find the total area.,"{""a"":[20,24,30,36],""b"":[12,18,25]}",a+b,"{""normalise"": [""trim"", ""lowercase"", ""remove_spaces""], ""tolerance"": 0.01}",Add the parts.,Compound area can be found by splitting into rectangles.,"[""angle_fact_confusion""]",gcse-style-original,false,true,areas 24 and 18,42 cm²,adaptive_challenge_mode
area-perimeter-missing_rectangle_side-could,maths,8-9,area-perimeter,missing-rectangle-side,missing_rectangle_side,geometry,could,short_text,A rectangle has area {area} cm² and width {w} cm. Find its length.,"{""w"":[3,4,5,6],""l"":[7,8,9,10]}",area/w,"{""normalise"": [""trim"", ""lowercase"", ""remove_spaces""], ""tolerance"": 0.01}",Area = length × width.,Divide area by known side.,"[""angle_fact_confusion""]",gcse-style-original,false,true,area 40 width 5,8 cm,adaptive_challenge_mode
area-perimeter-perimeter_missing_side-could,maths,8-9,area-perimeter,perimeter-missing-side,perimeter_missing_side,geometry,could,short_text,A rectangle has perimeter {p} cm and length {l} cm. Find its width.,"{""l"":[6,8,10],""w"":[3,4,5]}",p/2-l,"{""normalise"": [""trim"", ""lowercase"", ""remove_spaces""], ""tolerance"": 0.01}",Half the perimeter is length + width.,Perimeter = 2(l+w).,[],gcse-style-original,false,true,perimeter 26 length 8,5 cm,adaptive_challenge_mode
area-perimeter-trapezium_area_intro-could,maths,8-9,area-perimeter,trapezium-area-intro,trapezium_area_intro,geometry,could,short_text,"Find the area of a trapezium with parallel sides {a} cm and {b} cm, height {h} cm.","{""a"":[5,6,8],""b"":[9,10,12],""h"":[4,5,6]}",(a+b)*h/2,"{""normalise"": [""trim"", ""lowercase"", ""remove_spaces""], ""tolerance"": 0.01}","Average the parallel sides, then multiply by height.",Formula: 1/2(a+b)h.,[],gcse-style-original,false,true,"parallel 6 and 10, height 5",40 cm²,adaptive_challenge_mode
area-perimeter-circle_area_intro-could,maths,8-9,area-perimeter,circle-area-intro,circle_area_intro,geometry,could,short_text,Find the area of a circle with radius {r} cm. Use π = 3.14.,"{""r"":[2,3,4,5]}",3.14*r*r,"{""normalise"": [""trim"", ""lowercase"", ""remove_spaces""], ""tolerance"": 0.01}",Area = πr².,"Square the radius, then multiply by π.",[],gcse-style-original,false,true,radius 3,28.26 cm²,adaptive_challenge_mode
